Optical Power Monitor 4.1.4204.742

Power Meter;PM16-130
Power Meter SN;15122110
Sensor;
Sensor SN;
Sensor Type;
Wavelength;660 nm
Range;Auto;range changed during the measurement.

Start of Measurement;9/19/2025 16:20:45
Elapsed Time;00:01:04:258
Samples;1060

--Statistics--
Minimum [W];2,5862E-09
Maximum [W];0,00013481
Mean [W];8,3877E-05
Standard Deviation [W];5,0699E-05
Ratio;52127,387 : 1

--Graph Data--
Time (ms);Power (W)
9830,664;1,6822E-05
9890,664;1,7313E-05
9950,376;1,794E-05
10010,376;1,8696E-05
10070,046;1,9871E-05
10130,046;2,1822E-05
10190,700;2,426E-05
10250,700;2,6786E-05
10313,371;2,8882E-05
10370,371;3,0002E-05
10431,055;3,0497E-05
10490,055;3,0833E-05
10550,764;3,1275E-05
10610,764;3,1889E-05
10669,764;3,2469E-05
10730,255;3,2747E-05
10790,255;3,2781E-05
10850,934;3,273E-05
10909,934;3,2673E-05
10969,614;3,2665E-05
11029,614;3,2655E-05
11089,325;3,2671E-05
11149,325;3,2682E-05
11209,008;3,2662E-05
11269,008;3,2644E-05
11329,648;3,2623E-05
11389,648;3,2617E-05
11449,350;3,2618E-05
11509,350;3,2611E-05
11569,031;3,2601E-05
11629,031;3,2628E-05
11688,722;3,2662E-05
11748,722;3,2679E-05
11808,366;3,2711E-05
11868,366;3,2765E-05
11930,040;3,2812E-05
11989,040;3,2825E-05
12049,040;3,2839E-05
12108,562;3,2837E-05
12168,562;3,2816E-05
12228,241;3,2833E-05
12288,241;3,2866E-05
12347,949;3,2885E-05
12407,949;3,2886E-05
12468,597;3,2875E-05
12527,597;3,2866E-05
12588,277;3,2839E-05
12648,277;3,282E-05
12707,957;3,2808E-05
12767,957;3,2789E-05
12827,637;3,2813E-05
12887,637;3,2833E-05
12948,312;3,2826E-05
13008,312;3,2795E-05
13067,991;3,2741E-05
13127,991;3,2729E-05
13187,671;3,2643E-05
13247,671;3,2585E-05
13307,350;3,2651E-05
13367,350;3,2664E-05
13430,022;3,2615E-05
13487,022;3,2583E-05
13547,022;3,2614E-05
13607,547;3,2638E-05
13667,547;3,2583E-05
13727,226;3,2528E-05
13787,226;3,2533E-05
13846,904;3,2573E-05
