Optical Power Monitor 4.1.4204.742

Power Meter;PM16-130
Power Meter SN;15122110
Sensor;
Sensor SN;
Sensor Type;
Wavelength;660 nm
Range;Auto;range changed during the measurement.

Start of Measurement;9/19/2025 16:16:04
Elapsed Time;00:00:54:968
Samples;904

--Statistics--
Minimum [W];1,725E-05
Maximum [W];0,04942
Mean [W];0,032583
Standard Deviation [W];0,015697
Ratio;2864,865 : 1

--Graph Data--
Time (ms);Power (W)
23078,655;0,036828
23138,655;0,036828
23198,357;0,036829
23258,357;0,036831
23318,006;0,036827
23378,006;0,036821
23437,687;0,036812
23497,687;0,036785
23557,366;0,036748
23617,366;0,036702
23678,042;0,036587
23738,042;0,03645
23797,721;0,036393
23857,721;0,036384
23917,430;0,036385
23977,430;0,036389
24037,081;0,036387
24097,081;0,036381
24158,754;0,036375
24217,754;0,03637
24277,437;0,036364
24337,437;0,03636
24397,437;0,036359
24456,986;0,036357
24516,986;0,03634
24576,658;0,036316
24636,658;0,036305
24697,312;0,036304
24757,312;0,036308
24816,990;0,036307
24876,990;0,0363
24936,669;0,036295
24996,669;0,036298
25056,378;0,036297
25116,378;0,036289
25176,057;0,036282
25236,057;0,036274
25296,706;0,036269
25355,706;0,036274
25416,385;0,036277
25476,385;0,036273
25536,064;0,036266
25596,064;0,036264
25655,743;0,036268
25715,743;0,03627
25775,422;0,036268
25835,422;0,036262
25895,422;0,03626
25955,939;0,036261
26015,939;0,036263
26075,617;0,036264
26135,617;0,036262
26195,297;0,036259
26255,297;0,036255
26314,976;0,036257
26374,976;0,036254
26435,653;0,036248
26495,653;0,036244
26555,366;0,036241
26615,366;0,036242
26675,011;0,036246
26735,011;0,036247
26794,691;0,036246
26854,691;0,036247
26914,370;0,036246
26974,370;0,036245
27035,054;0,036245
27095,054;0,036246
27154,755;0,03625
27214,755;0,036251
27274,406;0,036251
27334,406;0,036254
27394,406;0,036254
27453,924;0,036248
27513,924;0,036243
27574,612;0,036242
27634,612;0,03624
27694,281;0,036236
27754,281;0,036234
27813,959;0,036234
27873,959;0,036235
27933,639;0,036235
27993,639;0,036232
28053,350;0,036231
28113,350;0,036236
28173,996;0,036244
28233,996;0,036249
28293,675;0,036249
28353,675;0,036247
28413,353;0,036257
28473,353;0,036266
28533,033;0,036259
28593,033;0,036259
28652,712;0,036267
28712,712;0,036268
28773,389;0,036268
28833,389;0,036271
28893,069;0,036274
28953,069;0,036274
29013,069;0,03627
29072,619;0,036267
29132,619;0,036257
29192,302;0,036247
29252,302;0,036244
29312,944;0,036246
29372,944;0,036248
29432,623;0,036246
29492,623;0,03624
29552,325;0,036233
29612,325;0,036232
29671,981;0,036234
29731,981;0,036232
29792,657;0,03623
29852,657;0,036227
29912,337;0,03623
29972,337;0,036244
30032,049;0,036336
30092,049;0,036599
30151,727;0,036977
30211,727;0,037391
30272,372;0,037878
30332,372;0,038355
30396,041;0,038861
30451,041;0,03943
30512,041;0,040015
30571,604;0,040628
30631,604;0,04111
30691,251;0,041433
30751,251;0,041616
30810,929;0,041711
30870,929;0,041782
30931,606;0,041807
30991,606;0,041806
31051,285;0,041802
31111,285;0,041801
31170,969;0,041802
31230,969;0,041799
31290,677;0,041792
31350,677;0,041783
31410,323;0,041773
31470,323;0,041758
31531,000;0,041769
31591,000;0,041796
31650,680;0,041798
31710,680;0,041798
31770,360;0,041794
31830,360;0,041779
31890,039;0,041772
31950,039;0,041776
32010,039;0,04178
32070,554;0,041783
32130,554;0,04178
32190,233;0,041785
32250,233;0,041785
32309,941;0,041779
32369,941;0,041783
32429,592;0,041792
32489,592;0,041798
32549,270;0,0418
32609,270;0,041801
32669,948;0,041798
32729,948;0,0418
32789,637;0,041803
32849,637;0,041799
32909,307;0,041791
32969,307;0,041785
33028,985;0,041783
33088,985;0,041782
33148,667;0,041779
33208,667;0,041777
33269,350;0,041777
33329,350;0,041779
33390,019;0,041777
33449,019;0,041776
33509,019;0,041773
33568,551;0,041766
33628,551;0,041767
33688,219;0,041772
33748,219;0,041774
33808,897;0,041773
33868,897;0,041771
33928,575;0,041771
33988,575;0,041768
34048,258;0,041766
34108,258;0,041767
34167,965;0,041764
34227,965;0,041762
34287,642;0,041758
34347,642;0,041753
34408,291;0,041747
34468,291;0,041747
34527,969;0,04175
34587,969;0,041753
34647,649;0,04175
34707,649;0,041748
34767,328;0,041747
34827,328;0,041743
34888,004;0,04174
34947,004;0,041739
35007,683;0,041737
35067,683;0,041734
35127,683;0,041724
35187,236;0,041703
35247,236;0,04169
35306,913;0,041688
35366,913;0,041689
35426,593;0,041691
35486,593;0,041694
35547,237;0,041694
35607,237;0,041689
35666,917;0,041687
35726,917;0,041686
35786,602;0,041688
35846,602;0,041687
35906,276;0,041686
35966,276;0,041683
36025,955;0,041679
36085,955;0,041675
36146,632;0,041666
36206,632;0,041663
36266,311;0,041756
36326,311;0,0421
36388,983;0,042687
36445,983;0,043301
36510,657;0,043934
36565,657;0,044511
36625,657;0,044953
36686,193;0,04532
36746,193;0,045581
36805,865;0,045785
36865,865;0,046004
36925,545;0,046173
36985,545;0,04624
37045,253;0,046282
37105,253;0,046296
37164,903;0,046293
37224,903;0,046291
37285,579;0,046291
37345,579;0,046285
37405,259;0,046274
37465,259;0,046267
37524,967;0,046261
37584,967;0,046258
37644,650;0,046257
37704,650;0,046252
37765,294;0,046249
37825,294;0,046249
37884,980;0,046249
37944,980;0,046249
38005,674;0,046247
38063,674;0,046242
38124,674;0,046241
38184,204;0,046241
38244,204;0,04623
38303,852;0,046213
38363,852;0,046178
38424,528;0,046141
38484,528;0,046134
38544,239;0,046139
38604,239;0,046156
38663,896;0,046164
38723,896;0,046158
38783,599;0,046171
38843,599;0,046167
38903,278;0,046161
38963,278;0,046148
39023,923;0,046105
39083,923;0,04609
39143,633;0,046087
39203,633;0,046054
39263,280;0,046024
39323,280;0,04603
39382,961;0,046049
39442,961;0,046067
39502,639;0,046086
39562,639;0,046101
39622,639;0,046108
39683,155;0,046108
39743,155;0,046103
39802,835;0,0461
39862,835;0,046102
39922,513;0,046106
39982,513;0,046109
40042,193;0,046115
40102,193;0,046121
40162,882;0,046125
40222,882;0,046128
40282,581;0,04613
40342,581;0,04613
40402,229;0,046132
40462,229;0,046136
40521,907;0,046139
40581,907;0,046141
40641,587;0,046146
40701,587;0,046148
40762,266;0,046152
40822,266;0,046159
40881,943;0,04616
40941,943;0,046161
41002,621;0,046165
41061,621;0,04617
41121,621;0,046173
41181,173;0,046171
41241,173;0,046171
41301,818;0,046172
41361,818;0,046165
41421,497;0,046164
41481,497;0,046168
41541,178;0,046167
41601,178;0,046166
41660,855;0,046165
41720,855;0,046163
41780,535;0,046162
41840,535;0,046159
41901,212;0,046156
41961,212;0,046157
42020,891;0,046156
42079,891;0,046152
42140,570;0,046148
42200,570;0,04614
42260,250;0,04613
42320,250;0,046122
42379,958;0,046118
42439,958;0,046116
42500,606;0,046107
